Date,Price,Change %
May 19,63.01,-1.41%
Apr 19,63.91,6.27%
Mar 19,60.14,5.10%
Feb 19,57.22,6.38%
Jan 19,53.79,18.45%
Dec 18,45.41,-10.84%
Nov 18,50.93,-22.02%
Oct 18,65.31,-10.84%
Sep 18,73.25,4.94%
Aug 18,69.8,1.51%
Jul 18,68.76,-7.27%
Jun 18,74.15,10.61%
May 18,67.04,-2.23%
Apr 18,68.57,5.59%
Mar 18,64.94,5.35%
Feb 18,61.64,-4.77%
Jan 18,64.73,7.13%
Dec 17,60.42,5.26%
Nov 17,57.4,5.55%
Oct 17,54.38,5.24%
Sep 17,51.67,9.40%
Aug 17,47.23,-5.86%
Jul 17,50.17,8.97%
Jun 17,46.04,-4.72%
May 17,48.32,-2.05%
Apr 17,49.33,-2.51%
Mar 17,50.6,-6.31%
Feb 17,54.01,2.27%
Jan 17,52.81,-1.69%
Dec 16,53.72,8.66%
Nov 16,49.44,5.51%
Oct 16,46.86,-2.86%
Sep 16,48.24,7.92%
Aug 16,44.7,7.45%
Jul 16,41.6,-13.93%
Jun 16,48.33,-1.57%
May 16,49.1,6.93%
Apr 16,45.92,19.77%
Mar 16,38.34,13.60%
Feb 16,33.75,0.39%
Jan 16,33.62,-9.23%
Dec 15,37.04,-11.07%
Nov 15,41.65,-10.60%
Oct 15,46.59,3.33%
Sep 15,45.09,-8.35%
Aug 15,49.2,4.41%
Jul 15,47.12,-20.77%
Jun 15,59.47,-1.38%
May 15,60.3,1.12%
Apr 15,59.63,25.27%
Mar 15,47.6,-4.34%
Feb 15,49.76,3.15%
Jan 15,48.24,-9.44%
Dec 14,53.27,-19.47%
Nov 14,66.15,-17.87%
Oct 14,80.54,-11.65%
Sep 14,91.16,-5.00%
Aug 14,95.96,-2.25%
Jul 14,98.17,-6.83%
Jun 14,105.37,2.59%
May 14,102.71,2.98%
Apr 14,99.74,-1.81%
Mar 14,101.58,-0.98%
Feb 14,102.59,5.23%
Jan 14,97.49,-0.94%
Dec 13,98.42,6.15%
Nov 13,92.72,-3.80%
Oct 13,96.38,-5.81%
Sep 13,102.33,-4.94%
Aug 13,107.65,2.49%
Jul 13,105.03,8.77%
Jun 13,96.56,4.99%
May 13,91.97,-1.59%
Apr 13,93.46,-3.88%
Mar 13,97.23,5.63%
Feb 13,92.05,-5.58%
Jan 13,97.49,6.18%
Dec 12,91.82,3.27%
Nov 12,88.91,3.10%
Oct 12,86.24,-6.45%
Sep 12,92.19,-4.44%
Aug 12,96.47,9.55%
Jul 12,88.06,3.65%
Jun 12,84.96,-1.81%
May 12,86.53,-17.49%
Apr 12,104.87,1.80%
Mar 12,103.02,-3.78%
Feb 12,107.07,8.72%
Jan 12,98.48,-0.35%
Dec 11,98.83,-1.52%
Nov 11,100.36,7.69%
Oct 11,93.19,17.66%
Sep 11,79.2,-10.82%
Aug 11,88.81,-7.20%
Jul 11,95.7,0.29%
Jun 11,95.42,-7.09%
May 11,102.7,-9.86%
Apr 11,113.93,6.76%
Mar 11,106.72,10.05%
Feb 11,96.97,5.18%
Jan 11,92.19,0.89%
Dec 10,91.38,8.64%
Nov 10,84.11,3.29%
Oct 10,81.43,1.83%
Sep 10,79.97,11.19%
Aug 10,71.92,-8.90%
Jul 10,78.95,4.39%
Jun 10,75.63,2.24%
May 10,73.97,-14.14%
Apr 10,86.15,2.85%
Mar 10,83.76,5.15%
Feb 10,79.66,9.29%
Jan 10,72.89,-8.15%
Dec 09,79.36,2.69%
Nov 09,77.28,0.36%
Oct 09,77,9.05%
Sep 09,70.61,0.93%
Aug 09,69.96,0.73%
Jul 09,69.45,-0.63%
Jun 09,69.89,5.40%
May 09,66.31,29.71%
Apr 09,51.12,2.94%
Mar 09,49.66,10.95%
Feb 09,44.76,7.39%
Jan 09,41.68,-6.55%
Dec 08,44.6,-18.06%
Nov 08,54.43,-19.73%
Oct 08,67.81,-32.62%
Sep 08,100.64,-12.84%
Aug 08,115.46,-6.95%
